A002 - 20170120_100720.jpg,265.0433,233.7178,548.322,289.1745,1092.397,493.0152,1173.3337,557.4649,617.2681,394.0925,1195.8162,581.4461,849.5867,582.945,713.1932,644.397,268.041,413.5773,642.7482,436.0597,362.4672,368.6124
A002 - 20170120_101302.jpg,283.0293,221.7272,585.7927,269.6897,1149.3525,467.5351,1228.7904,533.4836,644.2471,367.1136,1245.2775,557.4649,900.5468,554.4672,759.6569,624.9122,298.0176,407.582,672.7248,406.0831,396.9403,355.123
A002 - 20170120_101816.jpg,341.4836,148.2845,585.7927,305.6616,1047.4321,702.8513,1108.8841,803.2728,626.2611,434.5609,1119.3759,834.7482,779.1417,692.3595,626.2611,708.8466,272.5375,325.1464,630.7576,485.5211,387.9473,322.1487
A002 - 20170120_102849.jpg,390.945,142.2892,644.2471,323.6475,1089.3993,746.3173,1138.8607,840.7436,662.233,446.5515,1146.3548,873.7178,815.1136,725.3337,653.24,723.8349,313.0059,326.6452,677.2213,505.0059,432.9122,320.6499
A002 - 20170120_103327.jpg,286.0269,190.2518,569.3056,311.6569,1072.9122,632.4063,1150.8513,722.3361,609.774,428.5656,1167.3384,752.3126,806.1206,666.8794,650.2424,699.8536,247.0574,376.1066,624.7623,473.5304,371.4602,355.123
A002 - 20170120_104153.jpg,321.9988,226.2237,596.2845,346.13,1108.8841,693.8583,1177.8302,779.2916,648.7436,470.5328,1185.3244,812.2658,840.5937,722.3361,684.7155,750.8138,277.034,407.582,665.2307,513.9988,395.4415,392.5937
A002 - 20170120_111537.jpg,230.5703,190.2518,518.3454,308.6593,1041.4368,633.9052,1105.8864,719.3384,555.8162,421.0714,1126.87,747.8162,764.1534,674.3735,614.2705,711.8443,194.5984,380.603,575.3009,472.0316,310.0082,349.1276
A002 - 20170120_112159.jpg,311.507,247.2073,596.2845,361.1183,1111.8817,678.87,1176.3314,755.3103,639.7506,479.5258,1192.8185,783.7881,846.589,713.3431,689.2119,744.8185,280.0316,431.5632,656.2377,522.9918,393.9426,404.5843
A002 - 20170120_112438.jpg,271.0386,203.7412,564.8091,296.6686,1101.3899,582.945,1182.3267,660.8841,626.2611,416.5749,1200.3126,690.8607,840.5937,647.3946,698.2049,698.3548,256.0504,391.0948,645.7459,461.5398,368.4625,358.1206
A002 - 20170120_113625.jpg,262.0457,313.1557,548.322,391.0948,1081.9052,668.3782,1156.8466,746.3173,611.2728,511.0012,1173.3337,776.2939,831.6007,731.329,681.7178,776.2939,250.055,503.507,632.2564,551.4696,357.9707,463.0386
A002 - 20170120_113927.jpg,188.603,212.7342,489.8677,308.6593,1018.9543,605.4274,1078.9075,713.3431,524.3407,421.0714,1087.9005,746.3173,756.6593,653.3899,600.781,695.3571,169.1183,392.5937,552.8185,473.5304,290.5234,370.1112
A002 - 20170120_114228.jpg,296.5187,251.7037,612.7717,317.6522,1180.8279,566.4578,1255.7693,636.9028,680.219,436.0597,1275.2541,662.3829,920.0316,642.8981,768.6499,705.8489,295.0199,445.0527,708.6967,481.0246,404.4344,398.589
A002 - 20170120_114500.jpg,414.9262,151.2822,677.2213,316.1534,1143.3571,741.8208,1198.8138,849.7365,699.7037,443.5539,1213.8021,887.2073,866.0738,734.3267,710.1956,737.3244,341.4836,340.1347,708.6967,499.0105,467.3852,323.6475
A002 - 20170120_115027.jpg,239.5632,277.1838,534.8326,359.6194,1084.9028,627.9098,1176.3314,708.8466,603.7787,479.5258,1197.315,740.322,825.6054,690.8607,678.7201,743.3197,229.0714,481.0246,627.76,521.493,344.4813,436.0597
A002 - 20170120_115319.jpg,353.4742,190.2518,623.2635,320.6499,1135.863,684.8653,1194.3173,774.7951,672.7248,449.5492,1207.8068,809.2681,861.5773,708.8466,704.2002,732.8279,287.5258,376.1066,686.2143,493.0152,413.4274,352.1253
